name,txp_5g,txp_4g1,txp_4g2,ret_5g,ret_4g1,ret_4g2,cio_5g,cio_4g1,cio_4g2,ttt_ms,hys_db
gnn_0078,43,30,33,9,9,3,5,-2,-2,720,2.5
gnn_0079,43,40,43,12,9,3,6,1,0,256,2.5
gnn_0080,37,33,37,7,9,12,5,0,1,256,4.5
gnn_0081,43,43,33,9,5,12,8,-2,1,256,5.0
gnn_0082,40,43,30,5,5,9,6,-1,0,128,3.0
gnn_0083,30,30,33,7,5,12,5,1,2,340,3.0
gnn_0084,30,30,43,7,7,5,9,-2,-1,340,1.5
gnn_0085,33,33,43,3,5,12,7,0,1,512,1.0
gnn_0086,33,30,30,5,9,12,5,2,2,720,4.5
gnn_0087,40,37,30,3,5,5,6,-2,-2,720,2.5
gnn_0088,30,43,43,12,12,3,6,0,1,720,0.5
gnn_0089,43,43,37,7,7,5,8,2,1,720,4.5
gnn_0090,43,33,33,7,5,5,6,-2,-1,128,2.5
gnn_0091,30,33,40,7,12,12,6,-1,-2,512,1.5
gnn_0092,40,40,43,3,7,7,6,1,-1,340,2.0
gnn_0093,37,43,30,5,5,9,7,1,2,512,2.5
gnn_0094,40,37,30,7,7,3,7,1,2,720,3.5
gnn_0095,30,43,37,5,5,12,8,0,2,256,5.0
gnn_0096,40,40,33,12,3,9,7,2,1,128,3.5
gnn_0097,30,43,33,3,3,5,7,1,-2,128,4.0
gnn_0098,40,37,37,7,5,12,5,1,0,128,5.0
gnn_0099,33,43,37,3,3,5,6,2,0,340,4.5
gnn_0100,43,30,43,3,3,7,9,2,-2,512,5.0
gnn_0101,30,40,37,5,5,12,7,0,0,256,4.5
gnn_0102,37,40,37,5,7,9,9,0,1,340,0.5
gnn_0103,30,30,33,3,9,5,9,-2,1,256,5.0
gnn_0104,33,33,37,7,9,5,7,-1,-1,340,3.5
gnn_0105,43,30,43,7,9,5,8,0,-2,720,1.0
gnn_0106,43,33,43,7,3,7,9,-2,0,720,1.5
gnn_0107,40,37,40,3,7,12,7,-1,2,128,1.5
gnn_0108,30,43,30,3,5,9,8,-1,-1,720,2.5
gnn_0109,43,33,37,3,9,7,7,2,0,128,4.5
gnn_0110,40,37,37,12,3,5,6,0,-1,512,1.0
gnn_0111,30,30,43,9,12,5,8,2,2,340,3.5
gnn_0112,43,37,33,9,5,5,8,-2,-1,512,3.5
gnn_0113,30,33,30,5,7,9,8,-1,1,128,1.5
gnn_0114,33,33,43,12,9,5,8,-1,-2,340,4.5
gnn_0115,30,43,33,3,12,7,9,0,1,128,4.0
gnn_0116,37,43,37,5,3,12,8,0,-1,256,4.0
gnn_0117,43,37,40,3,7,5,9,1,-1,720,4.0
gnn_0118,37,43,43,12,7,12,7,0,2,340,3.0
gnn_0119,30,40,40,12,12,12,9,-2,2,128,4.5
gnn_0120,33,37,37,9,9,7,5,-1,-2,720,4.5
gnn_0121,43,33,40,7,12,7,9,-1,-1,720,5.0
gnn_0122,33,30,37,9,3,7,8,-1,-1,128,2.5
gnn_0123,40,33,40,9,3,12,5,-1,-1,512,2.5
gnn_0124,33,33,33,7,7,7,8,1,0,720,0.5
gnn_0125,37,33,33,7,12,3,5,0,1,340,4.0
gnn_0126,33,37,40,9,7,12,6,1,1,340,5.0
gnn_0127,33,30,33,5,5,12,5,2,2,720,2.5
gnn_0128,33,40,43,5,12,5,8,0,2,340,2.5
gnn_0129,40,33,43,12,12,3,5,2,2,340,0.5
gnn_0130,43,37,30,9,3,9,9,1,0,128,4.0
gnn_0131,30,37,33,3,12,5,9,-2,1,512,4.5
gnn_0132,40,30,37,9,3,9,6,0,1,340,0.5
gnn_0133,33,40,33,9,3,5,5,1,0,128,1.5
gnn_0134,30,33,40,12,9,5,5,2,-1,256,1.5
gnn_0135,33,43,43,7,9,9,7,-1,2,720,1.0
gnn_0136,40,37,37,12,12,9,6,-2,1,720,5.0
gnn_0137,40,33,43,12,3,9,8,0,2,128,4.5
gnn_0138,40,33,43,12,3,12,6,0,1,512,3.0
gnn_0139,30,33,37,3,5,7,9,0,-2,256,3.0
gnn_0140,43,30,40,9,9,9,7,0,-2,256,2.5
gnn_0141,37,30,33,12,7,7,8,0,2,340,3.5
gnn_0142,30,33,40,12,12,7,9,-1,0,512,1.0
gnn_0143,30,30,30,3,3,5,7,0,-2,512,2.5
gnn_0144,40,37,37,5,9,12,6,1,-2,256,3.0
gnn_0145,33,40,40,12,5,5,8,-2,1,340,4.0
gnn_0146,30,40,40,3,9,7,9,1,2,720,5.0
gnn_0147,30,30,30,5,5,7,9,-2,2,256,1.5
gnn_0148,40,43,40,3,12,9,8,2,-2,256,4.5
gnn_0149,30,40,40,3,9,9,5,1,1,256,0.5
gnn_0150,40,37,37,5,7,9,9,2,1,256,2.0
gnn_0151,30,40,37,12,5,9,6,-1,-2,720,0.5
gnn_0152,30,30,43,3,12,9,7,1,1,340,4.0
gnn_0153,37,43,43,9,3,3,8,-2,2,256,2.5
gnn_0154,37,40,33,12,5,3,8,0,0,720,2.0
gnn_0155,37,30,40,12,5,9,7,1,2,128,4.0
gnn_0156,37,40,33,5,3,9,9,1,-1,128,1.5
gnn_0157,37,40,33,5,3,9,8,2,-2,720,0.5
gnn_0158,30,37,43,9,12,9,7,1,1,128,0.5
gnn_0159,37,30,37,3,3,9,8,0,-1,256,2.5
gnn_0160,43,37,43,9,9,12,6,1,2,256,4.5
gnn_0161,40,40,37,12,5,12,8,0,0,340,2.5
gnn_0162,40,33,43,5,7,12,9,1,-2,512,4.0
gnn_0163,30,33,33,5,9,7,8,-2,1,340,5.0
gnn_0164,30,37,37,5,3,3,5,2,0,128,1.5
gnn_0165,30,33,40,5,12,7,5,1,-1,512,4.0
gnn_0166,37,40,33,7,9,5,8,-2,-1,720,3.0
gnn_0167,37,33,33,3,5,9,7,0,2,720,5.0
gnn_0168,43,37,43,9,5,3,8,-1,2,340,1.0
gnn_0169,37,30,40,9,9,5,6,1,2,340,1.5
gnn_0170,37,33,37,7,3,9,7,0,1,256,1.0
gnn_0171,33,40,30,5,9,3,5,2,-2,128,1.5
gnn_0172,43,40,33,3,12,12,6,-1,-2,340,3.0
gnn_0173,43,30,40,9,7,9,7,2,-2,512,4.0
gnn_0174,33,30,30,5,5,5,5,1,2,340,5.0
gnn_0175,43,33,43,9,12,5,8,1,0,340,1.0
gnn_0176,33,30,40,5,3,5,8,1,2,720,3.0
gnn_0177,43,43,37,9,5,7,9,1,-1,720,2.0
gnn_0178,43,33,33,12,3,9,9,0,2,128,0.5
gnn_0179,40,30,33,9,3,12,9,-1,2,256,3.5
gnn_0180,37,40,40,12,12,9,6,1,2,128,4.0
gnn_0181,33,37,30,9,5,9,6,-1,0,340,4.5
gnn_0182,40,43,33,9,3,7,7,1,-2,128,1.0
gnn_0183,30,33,43,3,12,7,5,1,1,340,2.0
gnn_0184,43,40,33,12,5,5,7,0,-1,512,3.5
gnn_0185,43,43,33,12,12,7,7,-2,2,128,1.5
gnn_0186,37,37,37,5,5,5,6,1,-1,128,3.5
gnn_0187,30,33,33,5,5,9,8,1,-2,256,3.5
gnn_0188,30,30,33,12,12,3,8,-2,0,512,2.0
gnn_0189,40,40,30,3,7,3,7,1,1,128,4.5
gnn_0190,40,37,30,7,12,3,9,2,-2,720,3.0
gnn_0191,43,33,40,5,12,5,7,-1,-1,340,2.0
gnn_0192,37,33,37,9,12,3,5,0,1,720,2.5
gnn_0193,30,43,33,9,12,3,8,0,2,720,2.0
gnn_0194,37,43,43,3,9,7,9,-2,2,720,1.0
gnn_0195,43,30,30,12,5,12,5,2,-1,128,0.5
gnn_0196,33,40,43,3,7,12,7,0,0,340,1.0
gnn_0197,43,43,43,9,9,9,6,0,-1,512,1.0
gnn_0198,43,33,40,12,5,5,8,-1,-1,256,4.0
gnn_0199,43,37,40,5,12,9,5,1,2,512,0.5
gnn_0200,37,37,43,9,3,5,6,2,2,512,2.0
gnn_0201,33,33,40,5,3,7,7,1,-1,512,4.5
gnn_0202,33,30,33,7,12,9,7,1,2,256,0.5
gnn_0203,43,33,37,3,7,12,8,2,1,128,0.5
gnn_0204,33,30,37,5,12,5,8,-2,0,340,3.0
gnn_0205,30,33,33,12,7,9,9,-2,2,720,3.0
gnn_0206,33,33,33,12,9,3,6,0,1,512,4.0
gnn_0207,37,43,40,7,5,7,9,-1,2,720,1.0
gnn_0208,30,33,40,9,3,7,6,-1,2,256,3.0
gnn_0209,33,33,37,9,9,3,8,-1,2,720,3.5
gnn_0210,33,43,30,5,9,7,9,-2,1,340,3.0
gnn_0211,40,33,43,3,3,3,5,-1,-2,512,5.0
gnn_0212,30,40,30,12,7,3,5,1,1,340,3.0
gnn_0213,33,40,30,9,5,9,8,-1,-1,256,4.0
gnn_0214,43,37,30,3,7,5,9,-2,0,512,1.0
gnn_0215,37,43,37,3,9,5,6,1,2,340,4.0
gnn_0216,40,33,40,3,12,5,6,-1,2,512,1.0
gnn_0217,43,33,43,3,9,9,6,1,-1,340,1.0
gnn_0218,30,43,30,7,5,7,8,2,2,512,5.0
gnn_0219,40,43,33,12,3,12,8,1,-1,720,3.5
gnn_0220,30,30,37,12,5,7,9,-2,-1,128,4.0
gnn_0221,40,43,43,9,5,12,9,-1,-1,720,2.0
gnn_0222,37,30,30,9,9,5,6,0,2,340,2.0
gnn_0223,33,43,43,5,9,12,5,-2,0,512,5.0
gnn_0224,37,43,40,9,9,5,7,-1,0,340,1.0
gnn_0225,43,30,37,3,7,7,8,-2,2,720,4.5
gnn_0226,43,37,40,12,12,12,9,0,-2,128,1.5
gnn_0227,40,37,33,5,7,7,5,-1,2,340,3.5
gnn_0228,40,43,40,12,12,7,8,-1,2,340,3.5
gnn_0229,37,37,30,7,9,7,6,-2,0,340,1.0
gnn_0230,30,40,30,12,3,7,5,2,-1,256,4.0
gnn_0231,33,43,43,3,3,7,7,-1,2,340,4.0
gnn_0232,43,40,40,5,9,3,5,1,-2,720,0.5
gnn_0233,33,40,33,12,5,9,8,0,0,256,4.0
gnn_0234,30,40,40,9,5,5,5,-1,0,256,4.0
gnn_0235,37,40,40,7,9,7,8,-1,-1,720,4.0
gnn_0236,30,33,30,12,5,12,7,2,2,720,5.0
gnn_0237,30,33,30,12,12,7,6,-2,-2,512,5.0
gnn_0238,33,40,43,12,3,12,5,1,2,256,0.5
gnn_0239,33,30,30,7,3,3,9,0,1,720,5.0
gnn_0240,40,40,33,12,12,3,9,1,2,720,0.5
gnn_0241,37,43,43,5,12,9,7,-2,-1,128,5.0
gnn_0242,37,30,43,12,7,9,8,-1,0,340,4.0
gnn_0243,37,37,37,5,3,12,6,-1,-1,512,0.5
gnn_0244,37,40,33,7,5,9,8,0,1,340,3.0
gnn_0245,43,37,40,12,5,3,5,-2,-1,256,2.5
gnn_0246,43,40,30,5,12,9,5,-1,-2,256,2.5
gnn_0247,33,40,33,7,9,5,7,-2,-2,512,4.5
gnn_0248,43,33,43,12,3,3,9,-2,-2,720,0.5
gnn_0249,40,30,30,3,9,12,6,0,1,256,2.0
gnn_0250,40,30,43,9,7,9,8,-1,0,128,2.5
gnn_0251,37,30,33,5,12,7,6,1,0,720,4.5
gnn_0252,43,40,37,9,9,12,5,1,2,128,3.5
gnn_0253,33,43,43,3,5,9,9,1,1,256,1.5
gnn_0254,37,33,30,7,12,12,9,1,-1,720,3.5
gnn_0255,33,40,43,12,7,7,5,2,-1,128,1.5
gnn_0256,43,37,33,5,3,5,5,2,0,128,2.5
gnn_0257,37,33,33,9,3,3,7,-1,-1,720,4.5
gnn_0258,33,43,40,3,5,7,6,1,-2,720,1.0
gnn_0259,37,37,30,3,9,12,9,1,2,128,4.5
gnn_0260,40,43,43,12,5,9,7,-2,2,128,0.5
gnn_0261,43,37,37,9,3,12,7,2,-2,256,0.5
gnn_0262,37,43,37,3,7,12,5,1,0,512,1.0
gnn_0263,30,33,37,3,12,5,8,-2,0,128,3.5
gnn_0264,30,37,30,3,3,3,5,2,0,256,1.5
gnn_0265,30,37,37,5,3,7,7,2,-2,720,4.0
gnn_0266,33,40,37,9,5,3,6,-2,-2,128,4.0
gnn_0267,30,40,40,9,7,5,6,2,-1,340,1.0
gnn_0268,33,37,40,7,3,12,9,2,-1,720,1.5
gnn_0269,43,43,37,7,3,12,9,0,-1,512,2.5
gnn_0270,33,40,40,3,9,12,9,0,-2,340,2.5
gnn_0271,33,40,37,7,12,12,9,-1,-2,512,2.5
gnn_0272,30,43,33,5,7,5,5,1,-2,256,4.0
gnn_0273,37,37,37,5,12,7,9,0,-2,340,4.0
gnn_0274,33,43,33,9,3,3,8,-2,2,720,1.5
gnn_0275,30,40,37,3,5,9,6,-1,-1,256,2.0
gnn_0276,37,43,30,5,7,3,7,-2,-1,720,1.0
gnn_0277,33,33,33,3,9,12,6,2,1,720,4.5
gnn_0278,40,30,37,7,3,12,5,1,2,256,0.5
gnn_0279,37,30,40,9,5,5,7,0,1,128,0.5
gnn_0280,40,40,33,5,9,5,5,1,0,256,3.5
gnn_0281,37,37,30,12,12,5,5,0,-1,340,1.5
gnn_0282,30,40,37,5,5,9,6,0,2,128,1.0
gnn_0283,40,43,40,3,9,9,5,1,-2,128,3.5
gnn_0284,30,43,43,9,12,3,8,1,-2,256,0.5
gnn_0285,43,40,33,7,3,12,8,-2,2,720,1.5
gnn_0286,37,37,33,9,9,5,6,0,-1,128,2.5
gnn_0287,40,33,40,12,9,9,8,2,1,720,4.5
gnn_0288,33,30,43,3,9,9,5,-1,1,256,4.5
gnn_0289,30,40,37,7,7,9,5,0,1,256,4.5
gnn_0290,43,33,33,9,9,3,6,-1,-1,340,2.0
gnn_0291,33,43,43,7,5,12,9,0,-2,720,4.0
gnn_0292,33,37,33,12,3,3,6,1,0,720,2.5
gnn_0293,33,33,40,9,12,12,9,0,1,512,1.5
gnn_0294,30,33,37,12,7,9,6,-1,2,720,2.5
gnn_0295,43,40,40,9,12,3,8,0,-2,720,3.0
gnn_0296,40,30,43,12,3,5,7,-1,-1,256,1.0
gnn_0297,40,43,43,5,5,12,8,1,0,512,1.5
gnn_0298,33,30,37,7,12,3,8,1,0,128,1.0
gnn_0299,43,37,33,7,5,9,8,0,0,512,5.0
gnn_0300,40,43,30,12,12,9,7,2,0,128,2.5
gnn_0301,40,43,43,3,12,12,6,-1,-1,256,3.0
gnn_0302,33,30,30,7,5,3,6,-1,-1,512,3.5
gnn_0303,37,37,40,5,5,7,7,2,-2,340,3.5
gnn_0304,43,30,37,3,12,9,6,-1,-2,256,0.5
gnn_0305,37,40,43,5,5,12,9,1,0,512,5.0
gnn_0306,40,40,40,5,3,7,6,2,1,512,2.0
gnn_0307,40,33,43,3,5,7,7,2,-2,720,1.0
gnn_0308,30,33,30,5,9,12,6,0,2,128,3.5
gnn_0309,33,43,43,12,7,7,7,-1,-2,256,5.0
gnn_0310,33,40,43,9,9,5,7,0,-1,720,4.5
gnn_0311,43,43,37,7,7,7,5,0,0,720,5.0
gnn_0312,40,30,43,7,5,5,6,-2,0,720,0.5
gnn_0313,33,37,33,7,7,5,5,1,0,340,3.0
gnn_0314,43,43,30,5,5,9,8,-2,0,256,2.5
gnn_0315,40,33,33,5,5,7,8,-1,-1,512,2.5
gnn_0316,37,43,33,7,3,12,6,1,0,512,2.0
gnn_0317,30,30,43,12,9,3,8,-2,1,256,5.0
gnn_0318,40,43,30,3,12,12,5,0,-2,720,1.5
gnn_0319,37,30,37,12,12,7,7,-1,-2,512,2.5
gnn_0320,33,40,37,12,12,12,8,-2,0,256,1.5
gnn_0321,30,37,43,3,3,7,5,-1,2,256,2.5
gnn_0322,40,43,33,5,9,3,8,0,1,256,3.5
gnn_0323,33,33,30,12,9,9,6,-2,-2,720,1.5
gnn_0324,43,37,43,5,5,3,5,1,1,340,3.5
gnn_0325,33,30,40,12,5,7,8,1,0,340,1.5
gnn_0326,33,30,37,12,5,9,7,2,2,340,4.5
gnn_0327,40,40,30,9,9,9,5,-1,2,340,5.0
gnn_0328,43,40,33,7,12,7,8,0,2,256,4.0
gnn_0329,43,40,30,3,9,5,9,0,1,720,2.0
gnn_0330,33,30,33,5,7,12,5,-1,-1,340,1.0
gnn_0331,33,43,40,7,7,3,6,1,-2,720,3.0
gnn_0332,33,37,30,5,3,5,8,-2,0,256,4.0
gnn_0333,33,43,37,7,3,3,5,-1,0,340,2.5
gnn_0334,30,37,43,7,12,5,5,-1,1,256,3.0
gnn_0335,33,43,43,9,9,5,9,1,-1,128,0.5
gnn_0336,40,33,33,9,5,9,5,-2,0,340,3.5
gnn_0337,40,43,43,12,9,5,7,2,2,512,2.0
gnn_0338,43,37,40,5,9,7,7,0,-2,128,2.0
gnn_0339,30,30,30,12,12,12,7,-2,-1,256,4.0
gnn_0340,37,30,40,9,3,3,8,2,2,340,2.5
gnn_0341,43,43,40,12,12,12,7,0,1,512,2.5
gnn_0342,40,43,40,9,3,5,8,-2,1,512,3.5
gnn_0343,33,30,40,7,3,5,9,2,1,720,1.0
gnn_0344,43,33,33,5,7,9,8,2,-2,128,2.0
gnn_0345,37,43,33,7,12,12,8,2,1,128,5.0
gnn_0346,33,43,37,9,5,9,9,-1,0,340,3.5
gnn_0347,37,37,43,7,5,5,5,1,1,512,4.5
gnn_0348,30,43,33,12,7,5,6,-2,2,256,0.5
gnn_0349,37,33,30,3,7,7,5,1,-1,256,4.0
gnn_0350,33,37,33,9,12,3,5,0,-1,256,3.5
gnn_0351,43,37,40,12,7,12,7,-2,-1,340,2.5
gnn_0352,43,40,40,7,5,9,8,1,1,340,2.0
gnn_0353,43,40,40,7,9,12,6,-1,1,720,1.0
gnn_0354,37,43,40,12,7,9,7,-2,0,720,4.5
gnn_0355,30,43,37,3,5,7,6,2,-1,512,3.5
gnn_0356,40,40,43,9,5,12,7,1,-2,128,5.0
gnn_0357,40,43,43,12,7,9,6,2,-1,128,0.5
gnn_0358,33,33,43,9,9,7,8,-2,2,512,1.0
gnn_0359,30,30,30,5,12,7,9,2,1,128,1.0
gnn_0360,33,30,43,5,3,5,8,2,-1,720,2.5
gnn_0361,40,33,30,5,3,5,6,-1,-2,256,3.5
gnn_0362,30,43,43,7,9,7,8,-1,-2,512,4.5
gnn_0363,33,30,40,9,5,7,9,0,1,720,5.0
gnn_0364,37,43,40,12,12,12,5,2,0,340,3.0
gnn_0365,33,33,37,3,12,5,6,-2,1,512,1.0
gnn_0366,33,40,33,7,7,3,6,-1,0,512,2.5
gnn_0367,33,37,30,3,12,3,6,1,1,512,1.0
gnn_0368,43,33,33,3,5,3,9,2,-2,512,0.5
gnn_0369,40,33,33,12,5,7,7,-1,1,340,1.0
gnn_0370,37,40,30,5,12,9,7,-1,2,512,4.5
gnn_0371,33,37,40,7,5,5,5,0,0,128,3.0
gnn_0372,37,33,30,7,12,12,5,2,-2,128,1.0
gnn_0373,37,43,33,9,7,3,6,0,-2,512,4.0
gnn_0374,33,43,37,7,5,12,6,1,1,128,0.5
gnn_0375,30,40,33,7,9,7,6,-2,2,512,3.5
gnn_0376,37,40,40,5,12,3,7,-2,-2,128,4.0
gnn_0377,43,43,30,9,9,12,7,0,0,720,5.0
gnn_0378,40,40,33,7,3,3,5,-2,1,128,4.0
gnn_0379,37,30,37,12,7,12,8,1,-2,340,3.0
gnn_0380,40,30,43,9,7,9,8,0,0,128,5.0
gnn_0381,30,30,40,9,3,7,7,-2,-2,720,2.0
gnn_0382,33,37,40,3,3,12,8,-1,0,340,3.5
gnn_0383,33,33,37,9,12,3,8,0,1,340,3.0
gnn_0384,33,33,37,3,3,12,9,-1,2,128,4.5
gnn_0385,40,40,40,9,12,3,6,-1,-1,256,4.5
gnn_0386,30,30,30,7,9,12,7,-2,2,512,4.5
gnn_0387,43,30,43,9,12,12,9,2,1,512,2.5
gnn_0388,37,30,37,7,5,7,9,-2,1,340,4.0
gnn_0389,43,43,40,7,5,7,8,-2,1,256,4.5
gnn_0390,30,30,43,3,12,12,6,2,0,256,0.5
gnn_0391,37,33,43,5,5,3,6,-2,0,720,0.5
gnn_0392,33,30,43,12,12,5,5,2,-2,340,2.0
gnn_0393,40,37,37,3,3,12,8,1,2,128,0.5
gnn_0394,37,43,40,5,3,3,9,-2,-1,512,1.5
gnn_0395,40,40,33,12,5,12,7,1,1,340,5.0
gnn_0396,43,37,40,5,5,9,8,-1,-1,256,4.5
gnn_0397,43,30,40,9,7,3,8,0,2,256,1.5
gnn_0398,40,33,43,9,5,12,7,2,2,340,1.5
gnn_0399,37,40,30,12,3,5,8,2,2,340,4.5
gnn_0400,33,43,30,9,12,7,6,-2,-2,512,3.5
gnn_0401,37,33,37,5,5,3,6,2,2,340,4.5
gnn_0402,40,43,43,7,9,3,9,-2,-2,128,3.5
gnn_0403,33,40,33,3,7,5,5,1,-2,128,0.5
gnn_0404,43,30,40,5,9,3,6,2,2,720,1.5
gnn_0405,37,37,40,3,5,3,7,2,-1,128,1.5
gnn_0406,33,30,30,3,3,3,6,-2,0,128,5.0
gnn_0407,43,37,30,7,12,5,9,-2,-1,512,5.0
gnn_0408,30,30,37,5,12,7,5,1,1,128,3.0
gnn_0409,33,33,33,3,5,9,8,1,0,720,1.0
gnn_0410,40,37,30,3,7,7,6,-1,0,128,3.0
gnn_0411,43,33,43,3,9,9,9,-1,-1,256,2.5
gnn_0412,30,30,30,5,12,9,9,1,1,340,5.0
gnn_0413,30,33,43,5,3,12,9,-2,0,340,2.0
gnn_0414,37,30,43,12,7,12,9,-2,-1,340,1.5
gnn_0415,30,40,37,9,9,3,9,2,1,340,1.5
gnn_0416,43,33,40,12,7,7,6,-1,2,512,3.0
gnn_0417,40,40,40,9,5,7,9,-1,1,256,4.5
gnn_0418,40,43,37,3,7,12,6,0,-1,720,2.5
gnn_0419,40,40,40,7,9,12,6,-1,-1,340,2.5
gnn_0420,43,33,37,7,3,7,7,0,-1,720,3.5
gnn_0421,30,33,37,5,7,7,5,0,1,128,4.0
gnn_0422,30,43,30,3,5,3,9,0,0,340,3.0
gnn_0423,43,43,30,7,3,3,5,-1,1,128,3.5
gnn_0424,33,30,33,12,3,12,7,1,-1,340,3.0
gnn_0425,43,43,37,12,5,3,5,2,1,512,0.5
gnn_0426,37,33,30,12,12,7,7,1,2,128,2.5
gnn_0427,40,30,43,5,5,3,5,0,0,128,4.0
gnn_0428,40,33,30,12,9,12,7,1,2,512,3.0
gnn_0429,37,33,43,12,9,12,8,1,2,340,1.0
gnn_0430,37,30,40,3,7,3,8,1,-1,256,1.0
gnn_0431,37,43,40,3,3,5,9,0,2,720,1.5
gnn_0432,43,40,33,9,12,7,7,1,1,720,4.0
gnn_0433,30,37,37,5,9,9,5,0,2,512,1.5
gnn_0434,30,37,33,9,3,5,9,2,-2,340,4.0
